Title,abstract,Authors,Keywords,publication year,doi link,pretreatment category,pretreatment type,pretreatment detail,substrate category,substrate name,substrate type,TS %,VS %,Tc %,Tn %,C/N,Cellulose %,hemi cellulose %,Lignin %
"Low-heat, mild alkaline pretreatment of switchgrass for anaerobic digestion","This study examines the effectiveness of alkaline pretreatment under mild heat conditions (100 degrees C or 212 degrees F) on the anaerobic co-digestion of switchgrass. The effects of alkaline concentration, types of alkaline, heating time and rinsing were evaluated. In addition to batch studies, continuous-feed studies were performed in triplicate to identify potential digester operational problems caused by switchgrass co-digestion while accounting for uncertainty due to digester variability. Few studies have examined anaerobic digestion of switchgrass or the effects of mild heating to enhance alkaline pretreatment prior to biomass digestion. Results indicate that pretreatment can significantly enhance digestion of coarse-ground ( 0.78cm particle size) switchgrass. Energy conversion efficiency as high as 63% was observed, and was comparable or superior to fine-grinding as a pretreatment method. The optimal NaOH concentration was found to be 5.5% (wt/wt alkaline/biomass) with a 91.7% moisture level. No evidence of operational problems such as solids build-up, poor mixing, or floating materials were observed. These results suggest the use of waste heat from a generator could reduce the concentration of alkaline required to adequately pretreat lignocellulosic feedstock prior to anaerobic digestion.","Jin, G; Bierma, T; Walker, PM",Anaerobic digestion; alkaline pretreatment; biogas; switchgrass; NaOH,2014,http://dx.doi.org/10.1080/10934529.2014.859453,Physical,thermal,,lignocellulose,switchgrass,grass,93,,,,,,,
Production of biogas (methane and hydrogen) from anaerobic digestion of hemicellulosic hydrolysate generated in the oxidative pretreatment of coffee husks,"Ozone pretreatment of coffee husks (CH) was evaluated to generate hydrolysates for biogas production and to preserve cellulose of the solid phase for 2G ethanol production. Pretreatment variables included liquid-to-solid ratio (LSR), pH and specific applied ozone load (SAOL). Considering single-stage anaerobic digestion (AD), the highest methane production (36 NmL CH4/g CH) was achieved with the hydrolysate generated in the experiment using LSR 10 mL/g, pH 11 and SAOL 18.5 mg O-3/g CH, leading to 0.064 kJ/g CH energy recovery. Due to the presence of toxic compounds in the hydrolysate, the addition of powdered activated carbon (4 g/L) to the reactor enhanced biogas production, leading to 86 NmL CH4/g CH yield and 0.58 kJ/g CH energy recovery. When two-stage AD was applied, methane production resulted in 49 NmL CH4/g CH, with additional 19 NmL H-2/g CH production, resulting in a net 0.26 kJ/g CH energy recovery.","dos Santos, LC; Adarme, OFH; Baeta, BEL; Gurgel, LVA; de Aquino, SF",Coffee husks; Pretreatment; Ozonolysis; Biogas; Anaerobic digestion,2018,http://dx.doi.org/10.1016/j.biortech.2018.05.037,Chemical,oxidizer,ozone,lignocellulose,coffea,husk,,,,,,,,
Valorization of biogas production through disintegration of waste activated sludge using visible light ZnO-ZnS/Ag2O-Ag2S photocatalyst,"The key requirements for accelerating the anaerobic digestion process and clean energy production involve the disintegration of the recalcitrant structure of waste activated sludge and transforming it into soluble organic components for microbial degradation. Herein, the visible light-active ZnO-ZnS/Ag2Ag2S nanocatalyst was used for the photocatalytic solubilization of sludge to improve methane production through anaerobic digestion. The photocatalysis released the soluble substances in sludge slurry, in which soluble chemical oxygen demand was increased from 410 to 3892 mg L-1 after 6 h. The volatile solids content was only decreased by 13.1%, which indicated that a short period of pretreatment could avoid the mineralization of organic matter. Methane production was improved by 54% in photocatalytic pretreated sludge, where the cumulative methane production was up to 0.6985 mL g(-1) of VS compared with 0.4533 mL g(-1) of VS in untreated sludge. Similarly, a higher organic matter removal efficiency of 54% was achieved due to the increased bioavailability of organic compounds under the influence of the pre-solubilization of sludge during photocatalysis. Moreover, photocatalysis reduced the start-up time for methanogenesis from 23 to 13 days. Overall, this study determined the significance of visible light-active ZnO-ZnS/Ag2O-Ag2S photocatalysis for sludge treatment and cleaner energy production, while providing a useful reference for its industrial applications. (C) 2018 Published by Elsevier B.V. on behalf of Institution of Chemical Engineers.","Anjum, M; Kumar, R; Al-Talhi, HA; Mohamed, SA; Barakat, MA",Sludge; Photocatalysis; Solubilization; Pretreatment; Anaerobic digestion; Biogas,2018,http://dx.doi.org/10.1016/j.psep.2018.08.022,Process improvement,catalyst,photocatalyst  ZnO-ZnS/Ag2O-Ag2S ,activated sludge,wastewater sludge,,24,21.36,50,,,,,
Effect of biological pretreatment of Agropyron elongatum 'BAMAR' on biogas production by anaerobic digestion,"The aim of this work was to analyze the impact of three different moisture contents (MC), at 45% MC, 65% MC, 75% MC, on the degradation of cellulose, hemicellulose, and lignin during fungi treatment by Flammulina velutipes of Agropyron elongatum 'BAMAR' and on biogas production. The analysis of chemical composition shown that F. velutipes had greater selectivity for lignin biodegradation with the highest hemicellulose and lignin removal at 29.1% and 35.4%, respectively, and lowest cellulose removal (20.48%) at 65% MC. F. velutipes cultivated at 65% MC increased biogas production of 398.07 Ndm(3) kg (1) VS (1), which was 120% higher than the untreated sample. These treatment conditions resulted in 134% more methane yield compared with untreated sample. The results of this study suggested that A. elongatum is a potential biomass for biogas production in agriculture biogas plant and white- rot fungus F. velutipes provides an effective methods for improve biodegradation of A. elongatum. (C) 2015 Elsevier Ltd. All rights reserved.","Lalak, J; Kasprzycka, A; Martyniak, D; Tys, J",Anaerobic digestion; Biogas; Methane; Fungal pretreatment; Biomass,2016,http://dx.doi.org/10.1016/j.biortech.2015.10.022,Biological,fungi,flammunila velutipes,lignocellulose,Agropyron elongatum,plant,90,83.7,46,0.63013698630137,73,46,28.5,28
Mechanical pretreatment effects on macroalgae-derived biogas production in co-digestion with sludge in Ireland,"Cell walls and lignin component disruption treatments are needed to enhance the hydrolytic phase and the overall biodegradability of lignocellulosics during an anaerobic digestion process. Given their abundant availability in nature, low impact on food market prices and low lignin content, aquatic plants result in being particularly suitable for biofuel conversion. A preliminary study on the effects of a Hollander beater mechanical pretreatment has been conducted in batch mode focusing on biogas yields from five different species of Irish seaweeds in co-digestion with sludge. A second experiment on Laminaria Digitata species has been carried out using a Response Surface Methodology (RSM) with treatment times (0-10 min), mesophilic range of temperatures (35-39 degrees C) and sludge amounts (100-300 ml). Results from biogas yields of treated macroalgae have been found to be up to 20% higher when compared to untreated ones. A mathematical model of the biogas volume behaviour has been developed and the ideal conditions identified. (C) 2013 Elsevier Ltd. All rights reserved.","Tedesco, S; Benyounis, KY; Olabi, AG",Seaweeds; Anaerobic digestion; Biogas; Mechanical pretreatment; Optimisation,2013,http://dx.doi.org/10.1016/j.energy.2013.01.071,Physical,mechanical desintegration,mechanical,algae,laminaria,digitata,22,,,3,,,,
Mechanical pretreatment effects on macroalgae-derived biogas production in co-digestion with sludge in Ireland,"Cell walls and lignin component disruption treatments are needed to enhance the hydrolytic phase and the overall biodegradability of lignocellulosics during an anaerobic digestion process. Given their abundant availability in nature, low impact on food market prices and low lignin content, aquatic plants result in being particularly suitable for biofuel conversion. A preliminary study on the effects of a Hollander beater mechanical pretreatment has been conducted in batch mode focusing on biogas yields from five different species of Irish seaweeds in co-digestion with sludge. A second experiment on Laminaria Digitata species has been carried out using a Response Surface Methodology (RSM) with treatment times (0-10 min), mesophilic range of temperatures (35-39 degrees C) and sludge amounts (100-300 ml). Results from biogas yields of treated macroalgae have been found to be up to 20% higher when compared to untreated ones. A mathematical model of the biogas volume behaviour has been developed and the ideal conditions identified. (C) 2013 Elsevier Ltd. All rights reserved.","Tedesco, S; Benyounis, KY; Olabi, AG",Seaweeds; Anaerobic digestion; Biogas; Mechanical pretreatment; Optimisation,2013,http://dx.doi.org/10.1016/j.energy.2013.01.071,Physical,mechanical desintegration,mechanical,algae,Gracilaria,Gracilis,23,,,2.6,,,,
Mechanical pretreatment effects on macroalgae-derived biogas production in co-digestion with sludge in Ireland,"Cell walls and lignin component disruption treatments are needed to enhance the hydrolytic phase and the overall biodegradability of lignocellulosics during an anaerobic digestion process. Given their abundant availability in nature, low impact on food market prices and low lignin content, aquatic plants result in being particularly suitable for biofuel conversion. A preliminary study on the effects of a Hollander beater mechanical pretreatment has been conducted in batch mode focusing on biogas yields from five different species of Irish seaweeds in co-digestion with sludge. A second experiment on Laminaria Digitata species has been carried out using a Response Surface Methodology (RSM) with treatment times (0-10 min), mesophilic range of temperatures (35-39 degrees C) and sludge amounts (100-300 ml). Results from biogas yields of treated macroalgae have been found to be up to 20% higher when compared to untreated ones. A mathematical model of the biogas volume behaviour has been developed and the ideal conditions identified. (C) 2013 Elsevier Ltd. All rights reserved.","Tedesco, S; Benyounis, KY; Olabi, AG",Seaweeds; Anaerobic digestion; Biogas; Mechanical pretreatment; Optimisation,2013,http://dx.doi.org/10.1016/j.energy.2013.01.071,Physical,mechanical desintegration,mechanical,algae,Fucus,Vesiculosus,22,,,1.9,,,,
Mechanical pretreatment effects on macroalgae-derived biogas production in co-digestion with sludge in Ireland,"Cell walls and lignin component disruption treatments are needed to enhance the hydrolytic phase and the overall biodegradability of lignocellulosics during an anaerobic digestion process. Given their abundant availability in nature, low impact on food market prices and low lignin content, aquatic plants result in being particularly suitable for biofuel conversion. A preliminary study on the effects of a Hollander beater mechanical pretreatment has been conducted in batch mode focusing on biogas yields from five different species of Irish seaweeds in co-digestion with sludge. A second experiment on Laminaria Digitata species has been carried out using a Response Surface Methodology (RSM) with treatment times (0-10 min), mesophilic range of temperatures (35-39 degrees C) and sludge amounts (100-300 ml). Results from biogas yields of treated macroalgae have been found to be up to 20% higher when compared to untreated ones. A mathematical model of the biogas volume behaviour has been developed and the ideal conditions identified. (C) 2013 Elsevier Ltd. All rights reserved.","Tedesco, S; Benyounis, KY; Olabi, AG",Seaweeds; Anaerobic digestion; Biogas; Mechanical pretreatment; Optimisation,2013,http://dx.doi.org/10.1016/j.energy.2013.01.071,Physical,mechanical desintegration,mechanical,algae,Fucus,Serratus,20,,,2.2,,,,
Mechanical pretreatment effects on macroalgae-derived biogas production in co-digestion with sludge in Ireland,"Cell walls and lignin component disruption treatments are needed to enhance the hydrolytic phase and the overall biodegradability of lignocellulosics during an anaerobic digestion process. Given their abundant availability in nature, low impact on food market prices and low lignin content, aquatic plants result in being particularly suitable for biofuel conversion. A preliminary study on the effects of a Hollander beater mechanical pretreatment has been conducted in batch mode focusing on biogas yields from five different species of Irish seaweeds in co-digestion with sludge. A second experiment on Laminaria Digitata species has been carried out using a Response Surface Methodology (RSM) with treatment times (0-10 min), mesophilic range of temperatures (35-39 degrees C) and sludge amounts (100-300 ml). Results from biogas yields of treated macroalgae have been found to be up to 20% higher when compared to untreated ones. A mathematical model of the biogas volume behaviour has been developed and the ideal conditions identified. (C) 2013 Elsevier Ltd. All rights reserved.","Tedesco, S; Benyounis, KY; Olabi, AG",Seaweeds; Anaerobic digestion; Biogas; Mechanical pretreatment; Optimisation,2013,http://dx.doi.org/10.1016/j.energy.2013.01.071,Physical,mechanical desintegration,mechanical,algae,Pelvetia,Caniculata,21,,,1.5,,,,
Nanoparticles Synergistic Effect with Various Substrate Pretreatment and their Comparison on Biogas Production from Algae Waste,"Algae waste is one of the potential substrates for biogas and biohydrogen production and can comprehend multiple benefits of waste treatment and resource utilization. In view of the key bottlenecks such as low substrate degradation rate and poor productivity of algae waste production process, this study analyzes the combined effect of two metallic and metallic oxide nanoparticles with different substrate pretreatment methods (autoclave, ultrasonic, and microwave methods) to investigate the effect of anaerobic digestion of green algae (Enteromorpha). The results showed that out of the three pretreatment methods, microwave pretreatment and nanoparticles' synergistic effect significantly increases biogas production. The microbial community composition at the phylum level was analyzed. It was observed that the Firmicutes were most abundant across all samples. The relative abundance of Firmicutes for control, Ni NPs + MW, Co NPs + MW, and Fe3O4 NPs + MW groups were 51.78, 70.37, 75.77, and 83.93%, respectively. The second most abundant was of Bacteroidetes that also contributes to hydrogen production. This relatively high abundance of Firmicutes and Bacteroidetes promises its potential applications in a hydrogen production facility. Copyright (C) 2021 by Authors, Published by BCREC Group.","Zaidi, AA; Khan, SZ; Almohamadi, H; Mahmoud, ERI; Naseer, MN",Algae; Anaerobic Digestion; Biomass; Biogas; Nanoparticles; Pretreatment,2021,http://dx.doi.org/10.9767/bcrec.16.2.10637.374-382,Physical,thermal,"autoclave, microwave ",algae,enteromorpha,,,,,,,,,
Nanoparticles Synergistic Effect with Various Substrate Pretreatment and their Comparison on Biogas Production from Algae Waste,"Algae waste is one of the potential substrates for biogas and biohydrogen production and can comprehend multiple benefits of waste treatment and resource utilization. In view of the key bottlenecks such as low substrate degradation rate and poor productivity of algae waste production process, this study analyzes the combined effect of two metallic and metallic oxide nanoparticles with different substrate pretreatment methods (autoclave, ultrasonic, and microwave methods) to investigate the effect of anaerobic digestion of green algae (Enteromorpha). The results showed that out of the three pretreatment methods, microwave pretreatment and nanoparticles' synergistic effect significantly increases biogas production. The microbial community composition at the phylum level was analyzed. It was observed that the Firmicutes were most abundant across all samples. The relative abundance of Firmicutes for control, Ni NPs + MW, Co NPs + MW, and Fe3O4 NPs + MW groups were 51.78, 70.37, 75.77, and 83.93%, respectively. The second most abundant was of Bacteroidetes that also contributes to hydrogen production. This relatively high abundance of Firmicutes and Bacteroidetes promises its potential applications in a hydrogen production facility. Copyright (C) 2021 by Authors, Published by BCREC Group.","Zaidi, AA; Khan, SZ; Almohamadi, H; Mahmoud, ERI; Naseer, MN",Algae; Anaerobic Digestion; Biomass; Biogas; Nanoparticles; Pretreatment,2021,http://dx.doi.org/10.9767/bcrec.16.2.10637.374-382,Process improvement,nanoparticles,"Ni,Co,fe3o4",algae,enteromorpha,,,,,,,,,
Nanoparticles Synergistic Effect with Various Substrate Pretreatment and their Comparison on Biogas Production from Algae Waste,"Algae waste is one of the potential substrates for biogas and biohydrogen production and can comprehend multiple benefits of waste treatment and resource utilization. In view of the key bottlenecks such as low substrate degradation rate and poor productivity of algae waste production process, this study analyzes the combined effect of two metallic and metallic oxide nanoparticles with different substrate pretreatment methods (autoclave, ultrasonic, and microwave methods) to investigate the effect of anaerobic digestion of green algae (Enteromorpha). The results showed that out of the three pretreatment methods, microwave pretreatment and nanoparticles' synergistic effect significantly increases biogas production. The microbial community composition at the phylum level was analyzed. It was observed that the Firmicutes were most abundant across all samples. The relative abundance of Firmicutes for control, Ni NPs + MW, Co NPs + MW, and Fe3O4 NPs + MW groups were 51.78, 70.37, 75.77, and 83.93%, respectively. The second most abundant was of Bacteroidetes that also contributes to hydrogen production. This relatively high abundance of Firmicutes and Bacteroidetes promises its potential applications in a hydrogen production facility. Copyright (C) 2021 by Authors, Published by BCREC Group.","Zaidi, AA; Khan, SZ; Almohamadi, H; Mahmoud, ERI; Naseer, MN",Algae; Anaerobic Digestion; Biomass; Biogas; Nanoparticles; Pretreatment,2021,http://dx.doi.org/10.9767/bcrec.16.2.10637.374-382,Physical,ultrasonic,,algae,enteromorpha,,,,,,,,,
Visible light photocatalytic disintegration of waste activated sludge for enhancing biogas production,"Biogas production using waste activated sludge (WAS) is one of the most demanding technologies for sludge treatment and generating energy in sustainable manner. The present study deals with the photocatalytic pretreatment of WAS using ZnO-ZnS@polyaniline (ZnO-ZnS@PANI) nanocomposite as means for increasing its degradability for improved biogas production by anaerobic digestion (AD). Photo catalysis accelerated the hydrolysis of WAS and increased the sCOD by 6.7 folds after 6 h and transform tCOD into bioavailable sCOD. After the AD of WAS, a removal of organic matter (60.6%) and tCOD (693%) was achieved in photocatalytic pretreated sludge. The biogas production was 1.6 folds higher in photocatalytic sludge with accumulative biogas up to 1645.1 ml L(-1)vs after 45 days compared with the raw sludge (1022.4 ml L(-1)vs). Moreover, the photocatalysis decrease the onset of methanogenesis from 25 to 12 days while achieve the maximum conversion rate of reducing sugars into organic acids at that time. These results suggested that photocatalysis is an efficient pretreatment method and ZnO-ZnS@PANI can degrade sludge efficiently for enhance biogas production in anaerobic digestion process. (C) 2017 Elsevier Ltd. All rights reserved.","Anjum, M; Al-Talhi, HA; Mohamed, SA; Kumar, R; Barakat, MA",Photocatalysis; Sludge pretreatment; Anaerobic digestion; Biogas; COD,2018,http://dx.doi.org/10.1016/j.jenvman.2017.07.064,Process improvement,oxidation,photocatalyst  ZnO-ZnS/Ag2O-Ag2S,activated sludge,waste activated sludge,,24,21,50,,,,,
